,naics,countOsm,countStatcan,osmCompleteness,population density,median income,ale_index,% non-immigrants,% not a visible minority,% postsecondary
13294,81293,3,0,inf,39811.3,41557.0,3.5761511,0.4265402843601896,0.4028436018957346,0.7914691943127962
13295,5221,1,0,inf,20448.2,52096.0,5.2027874,0.6301369863013698,0.7465753424657534,0.7123287671232876
13296,56151,1,0,inf,20448.2,52096.0,5.2027874,0.6301369863013698,0.7465753424657534,0.7123287671232876
13297,722511,1,1,1.0,20448.2,52096.0,5.2027874,0.6301369863013698,0.7465753424657534,0.7123287671232876
13298,722512,1,1,1.0,20448.2,52096.0,5.2027874,0.6301369863013698,0.7465753424657534,0.7123287671232876
13299,812114,1,2,0.5,20448.2,52096.0,5.2027874,0.6301369863013698,0.7465753424657534,0.7123287671232876
13300,81293,1,0,inf,15763.5,82944.0,5.0874662,0.78125,1.09375,0.84375
13301,4421,2,2,1.0,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13302,4453,2,2,1.0,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13303,5221,4,2,2.0,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13304,5312,1,3,0.3333333333333333,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13305,7224,2,1,2.0,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13306,8123,2,1,2.0,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13307,44511,2,1,2.0,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13308,44512,2,2,1.0,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13309,44611,1,1,1.0,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13310,44711,2,1,2.0,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13311,45391,1,0,inf,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13312,71394,1,1,1.0,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13313,81293,12,0,inf,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13314,446191,1,2,0.5,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13315,722511,5,16,0.3125,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13316,722512,3,7,0.42857142857142855,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13317,812114,1,0,inf,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13318,812115,2,3,0.6666666666666666,19883.0,65357.0,11.588482,0.7624398073836276,0.7463884430176565,0.8908507223113965
13319,722512,1,0,inf,39821.8,61376.0,11.323862,0.6986573843858777,0.6737941322725013,0.8876181004475385
13320,5221,1,0,inf,23757.4,57771.0,11.200768,0.6914159536295887,0.6527739442451007,0.8211426994203699
13321,5312,1,0,inf,23757.4,57771.0,11.200768,0.6914159536295887,0.6527739442451007,0.8211426994203699
13322,7224,1,1,1.0,23757.4,57771.0,11.200768,0.6914159536295887,0.6527739442451007,0.8211426994203699
13323,44413,1,0,inf,23757.4,57771.0,11.200768,0.6914159536295887,0.6527739442451007,0.8211426994203699
13324,44511,1,0,inf,23757.4,57771.0,11.200768,0.6914159536295887,0.6527739442451007,0.8211426994203699
13325,54194,1,0,inf,23757.4,57771.0,11.200768,0.6914159536295887,0.6527739442451007,0.8211426994203699
13326,81293,12,0,inf,23757.4,57771.0,11.200768,0.6914159536295887,0.6527739442451007,0.8211426994203699
13327,452110,1,0,inf,23757.4,57771.0,11.200768,0.6914159536295887,0.6527739442451007,0.8211426994203699
13328,722511,3,7,0.42857142857142855,23757.4,57771.0,11.200768,0.6914159536295887,0.6527739442451007,0.8211426994203699
13329,722512,1,1,1.0,23757.4,57771.0,11.200768,0.6914159536295887,0.6527739442451007,0.8211426994203699
13330,812115,2,0,inf,23757.4,57771.0,11.200768,0.6914159536295887,0.6527739442451007,0.8211426994203699
13331,4453,1,1,1.0,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13332,5221,2,3,0.6666666666666666,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13333,7224,2,0,inf,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13334,8123,2,1,2.0,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13335,44314,1,0,inf,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13336,44512,3,0,inf,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13337,44711,3,0,inf,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13338,45322,1,0,inf,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13339,71211,1,0,inf,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13340,71212,1,0,inf,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13341,71213,1,0,inf,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13342,71394,1,2,0.5,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13343,72111,5,0,inf,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13344,72112,5,0,inf,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
13345,81293,9,0,inf,10913.8,50660.0,31.971067,0.44923504867872044,0.43949930458970793,0.8178025034770514
